Most Informative Features
  ('15', 'years', 'ago') = True           libera : libert =      5.4 : 1.0
('ever', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('york', 'times', 'bestseller') = True           libera : libert =      5.4 : 1.0
('planned', 'parenthood', 'clinic') = True           libera : libert =      5.4 : 1.0
('\x80\x98', 'black', 'lives') = True           libera : libert =      5.4 : 1.0
('blood', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('americans', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('\x80\x9d', 'they\xe2', '\x80\x99') = True           libera : libert =      5.4 : 1.0
('possible', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'world\xe2') = True           libera : libert =      5.4 : 1.0
('line', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('doubt', 'united', 'states') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9d', 'may') = True           libera : libert =      5.4 : 1.0
('titled', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('win', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('would', 'look', 'like') = True           libera : libert =      5.4 : 1.0
('nation', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'everybody') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'probably') = True           libera : libert =      5.4 : 1.0
('read', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('know', 'you\xe2', '\x80\x99') = True           libera : libert =      5.4 : 1.0
('york', 'times', 'columnist') = True           libera : libert =      5.4 : 1.0
('stuff', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('\x80\x99', 'think', '\xe2') = True           libera : libert =      5.4 : 1.0
('way', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x98', 'black') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'haven\xe2') = True           libera : libert =      5.4 : 1.0
('remains', 'seen', 'whether') = True           libera : libert =      5.4 : 1.0
('help', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'single') = True           libera : libert =      5.4 : 1.0
('pretty', 'much', 'every') = True           libera : libert =      5.4 : 1.0
('candidate', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('today\xe2', '\x80\x99', 'world') = True           libert : libera =      5.4 : 1.0
('\x80\x94', 'don\xe2', '\x80\x99') = True           libera : conser =      5.3 : 1.0
